humidity,acidity,quality,waterflow
0.0,3.903,0.0,0.0
5.108157894736842,4.219157894736843,1.0186315789473683,9.554315789473685
10.938315789473686,4.120315789473684,2.2432631578947366,20.22963157894737
16.26447368421053,5.258473684210527,3.352894736842105,28.701947368421056
22.24763157894737,5.1946315789473685,3.8265263157894736,40.28826315789474
26.647789473684213,5.135789473684211,5.568157894736841,47.37357894736842
33.806947368421056,5.544947368421053,6.1717894736842105,61.06089473684211
39.8941052631579,6.2351052631578945,7.696421052631579,79.4922105263158
44.86226315789474,5.787263157894737,7.994052631578947,84.14152631578948
50.25642105263158,6.645421052631579,9.049684210526316,92.14184210526317
54.716578947368426,7.1375789473684215,9.637315789473684,101.80315789473686
57.117736842105266,6.822736842105263,11.15994736842105,108.83547368421054
69.36089473684211,6.496894736842105,12.425578947368422,125.88878947368421
73.58005263157897,7.384052631578947,14.84121052631579,140.7861052631579
76.9982105263158,8.03521052631579,15.550842105263158,134.24742105263158
78.93336842105263,7.823368421052632,16.200473684210525,156.92773684210525
79.03652631578947,7.578526315789473,18.199105263157893,157.84805263157895
89.99568421052633,8.106684210526314,17.339736842105264,165.25036842105266
102.78584210526316,8.666842105263157,18.96136842105263,195.16068421052634
94.473,9.883,21.469,209.24
